# YYYYMMDD, RMM1, RMM2, Phase, Amplitude,RMM1_filt,RMM2_filt,Phase_filt,Amplitude_filt
19800404,-2.18958935,0.504470468,8,2.246951707,,,,
19800405,-2.238191463,0.251301855,8,2.252255236,,,,
19800406,-2.254125795,-0.020980645,1,2.254223433,,,,
19800407,-2.274587907,-0.079529263,1,2.275977823,,,,
19800408,-2.131786306,-0.288206688,1,2.15118013,,,,
19800409,-1.962252365,-0.549022768,1,2.037611431,,,,
19800410,-1.600597264,-0.992544527,1,1.883363014,,,,
19800411,-1.175264158,-1.183177351,2,1.667679371,,,,
19800412,-0.51034133,-1.360441842,2,1.453014204,,,,
19800413,0.118379331,-1.444010135,3,1.448854353,,,,
19800414,0.79760315,-1.223985425,3,1.460928166,,,,
19800415,1.460980021,-1.174904468,4,1.874796824,,,,
19800416,1.646617875,-0.754261241,4,1.81114893,,,,
19800417,1.614855064,-0.12560713,4,1.619732703,,,,
19800418,1.504977409,0.343489995,5,1.543678198,,,,
19800419,1.162058951,0.904124563,5,1.472352617,,,,
19800420,0.783277631,1.407817732,6,1.611047676,,,,
19800421,0.687314047,1.657791335,6,1.794623278,,,,
19800422,0.589968554,1.655207582,6,1.757206599,,,,
19800423,0.378583962,1.454059727,6,1.502536358,,,,
19800424,0.177008242,1.332094468,6,1.343803404,,,,
19800425,-0.23253427,1.163901805,7,1.186903365,,,,
19800426,-0.589600077,1.151203569,7,1.293405547,,,,
19800427,-0.74330695,0.939223941,7,1.197767438,,,,
19800428,-0.900504608,0.659883499,8,1.116402607,,,,
19800429,-0.974398165,0.381894803,8,1.046563627,-0.6684428684333333,-0.05299531999166668,1.0,0.670540359
19800430,-1.090803412,0.060634532,8,1.092487359,-0.774626719,-0.3729407271166667,1.0,0.85972748
19800501,-1.148526032,-0.120288231,1,1.154807908,-0.8211501675333333,-0.5496936542333334,1.0,0.988155206
19800502,-0.961745682,-0.251586584,1,0.994107925,-0.6246535967083333,-0.6747976938416667,2.0,0.919534689
19800503,-0.763518695,-0.416490438,1,0.869727016,-0.417891793025,-0.8302175902,2.0,0.929459411
19800504,-0.620008011,-0.435985974,1,0.757953629,-0.26748456755833333,-0.8383030135916667,2.0,0.879943144
19800505,-0.445015925,-0.195851648,1,0.486206789,-0.08740099554166664,-0.5860077304166667,2.0,0.592489658
19800506,-0.39048381,-0.021591494,1,0.391080296,-0.02845597874166661,-0.40057086406666664,2.0,0.401580328
19800507,-0.402343639,0.072748541,8,0.408867649,-0.035209595008333316,-0.29788759290833333,2.0,0.29996122
19800508,-0.531198453,-0.024389887,1,0.531758087,-0.15880515669166667,-0.38729891741666667,2.0,0.418592318
19800509,-0.356189112,-0.028079608,1,0.357294203,0.02065418125833335,-0.3824532565416666,3.0,0.383010559
19800510,-0.225945692,0.102400324,8,0.248067092,0.15417066924166664,-0.24540729005,3.0,0.289816034
19800511,-0.324134423,0.212310803,8,0.387477743,0.05896025910000002,-0.13108923326666666,3.0,0.143738301
19800512,-0.647965242,0.002425924,8,0.647969783,-0.2599000406916667,-0.3368219589666666,2.0,0.425437497
19800513,-0.642285925,-0.279342408,1,0.700402306,-0.2528479846166667,-0.613424851675,2.0,0.66349239
19800514,-0.408797228,-0.439912745,2,0.600531762,-0.021197991166666708,-0.7688300556166666,2.0,0.769122233
19800515,-0.227776101,-0.428270068,2,0.485074431,0.15641146743333334,-0.7560469336916666,3.0,0.772056677
19800516,-0.165109573,-0.300618435,2,0.342976113,0.21621925563333333,-0.6310047317083334,3.0,0.667021542
19800517,-0.090937549,-0.307985307,2,0.321130172,0.28626317233333337,-0.63871743065,3.0,0.699933254
19800518,-0.023490305,-0.306036314,2,0.306936508,0.3503393786583333,-0.6339233997583333,3.0,0.724290382
19800519,-0.17882249,-0.274820554,2,0.327877752,0.19587991825,-0.5988257435583333,3.0,0.63004858
19800520,-0.334190098,-0.330965516,1,0.470341572,0.042936735208333354,-0.6506784973,3.0,0.652093605
19800521,-0.454417423,-0.40315682,1,0.607478902,-0.07382012078333328,-0.7178119941833334,2.0,0.721597859
19800522,-0.370708499,-0.451270508,2,0.584011869,0.012336445058333312,-0.7627907548916667,3.0,0.762890506
19800523,-0.140063172,-0.410663236,2,0.433891675,0.2429883763083333,-0.7219222372666667,3.0,0.761718496
19800524,0.022747022,-0.569068822,3,0.569523267,0.4040839783833333,-0.8779937936416666,3.0,0.966517958
19800525,0.106018292,-0.255787499,3,0.276888286,0.4848553149416666,-0.5637605579833334,3.0,0.743579615
19800526,0.214399885,-0.075582593,4,0.227332442,0.59105474635,-0.3826028030333334,4.0,0.7040814
19800527,0.101806139,-0.080815964,4,0.129983499,0.47876781581666666,-0.38615615771666667,4.0,0.615089586
19800528,-0.11614191,-0.177555313,2,0.212166992,0.2638043236,-0.47869349636666664,3.0,0.546571299
19800529,-0.432642994,-0.124411214,1,0.450175644,-0.04644454218333327,-0.42184889324999997,2.0,0.424397907
19800530,-0.536869025,-0.123472725,1,0.550884619,-0.14654575355,-0.4137728894916667,2.0,0.438957471
19800531,-0.688859165,-0.218926913,1,0.722811139,-0.2966604685166666,-0.5012668984249999,2.0,0.58247398
19800601,-0.705876778,-0.44104991,1,0.832338302,-0.31278034770833335,-0.7144768954416667,2.0,0.779941523
19800602,-0.683732362,-0.591693099,1,0.904207203,-0.28858530645,-0.854536846125,2.0,0.901950498
19800603,-0.337957964,-0.612772232,2,0.699789535,0.058391374683333386,-0.8625725952083333,3.0,0.864546722
19800604,-0.108630791,-0.476334895,2,0.488564817,0.2873359237916666,-0.7140014036583333,3.0,0.76964923
19800605,-0.008523169,-0.19258513,2,0.192773641,0.38527992507500003,-0.4217995130083333,3.0,0.571275283
19800606,0.052963534,0.218212391,6,0.224547953,0.44259111194166667,-0.006607570933333334,4.0,0.442640432
19800607,0.110587308,0.588100378,6,0.59840756,0.4951552943833333,0.3655304413416667,5.0,0.61546021
19800608,-0.133446575,0.491433214,7,0.50922941,0.2490180284416667,0.272101895775,6.0,0.368848777
19800609,-0.095952189,0.26504439,7,0.281878256,0.28341048717500006,0.0507242745,5.0,0.287913974
19800610,0.041244849,0.324762919,6,0.327371488,0.4163578204916667,0.11454903436666666,5.0,0.431827877
19800611,-0.085954413,0.256646915,7,0.270658087,0.28442354810000003,0.05180798885833332,5.0,0.289103481
19800612,-0.06696003,0.288054109,7,0.295734366,0.2955225746666667,0.08815062849166666,5.0,0.308389568
19800613,-0.167495741,0.53452766,7,0.560155909,0.18592472118333334,0.33660702614166665,6.0,0.384541665
19800614,-0.486911816,0.356204117,8,0.603294695,-0.13997524159166663,0.16208632005833332,7.0,0.214161255
19800615,-0.96174334,0.236219797,8,0.990328251,-0.6174129446833333,0.04612744983333336,8.0,0.619133657
19800616,-1.380425198,0.136755619,8,1.387182694,-1.0368497209583332,-0.04926099113333332,1.0,1.038019262
19800617,-1.486408121,-0.149955764,1,1.493953089,-1.14194454285,-0.32932873860833334,1.0,1.188484226
19800618,-1.175337223,-0.419201542,1,1.247857172,-0.8305823276000001,-0.5911206311416667,1.0,1.019456034
19800619,-0.733964482,-0.575895401,1,0.932930529,-0.39260035222499995,-0.7400380122083334,2.0,0.837729846
19800620,-0.268240692,-0.545357975,2,0.607756851,0.06766127832500002,-0.7015772359083334,3.0,0.704832368
19800621,-0.109191772,-0.460488564,2,0.473257394,0.22220801929999995,-0.6094286363583333,3.0,0.648675317
19800622,-0.028310224,-0.51448739,2,0.515265701,0.29955433131666664,-0.656096482925,3.0,0.721245722
19800623,0.127847321,-0.610271386,3,0.623519127,0.45051041596666674,-0.7442241128833333,3.0,0.869959289
19800624,0.306656102,-0.430041687,3,0.52817972,0.6213487283416665,-0.560422747475,4.0,0.836748408
19800625,0.42880643,-0.369755234,4,0.566210109,0.7345557393083333,-0.49700505402499995,4.0,0.886896926
19800626,0.668931066,-0.136470569,4,0.682710032,0.9650973458500001,-0.26253154852500005,4.0,1.000167836
19800627,0.602943583,-0.040525779,4,0.604303982,0.8892564677499999,-0.16894024919166667,4.0,0.905161794
19800628,0.63566118,0.091834966,5,0.642260692,0.9095591380666668,-0.038639342766666654,4.0,0.910379495
19800629,0.571939276,0.047033936,5,0.573869956,0.8361531459333333,-0.08658469595000001,4.0,0.840624169
19800630,0.676622059,-0.096141532,4,0.683418323,0.9292479972583334,-0.23271471175833333,4.0,0.957944663
19800701,0.912404276,0.109096187,5,0.918903445,1.1527178091999999,-0.03392142023333332,4.0,1.153216809
19800702,1.237104329,0.085858087,5,1.240080132,1.4644513048749999,-0.06372541495833334,4.0,1.465837151
19800703,1.718843536,0.574288536,5,1.812244581,1.932703512225,0.41140073041666664,5.0,1.976004409
19800704,1.722618701,0.863368031,5,1.926867807,1.9255686971500001,0.6833486898333334,5.0,2.043227897
19800705,1.370764007,1.046984942,5,1.724868526,1.5695077350333333,0.8484393386166666,5.0,1.784153537
19800706,0.919871196,1.219631179,6,1.527633212,1.1199889737083333,1.0028739777833333,5.0,1.503373379
19800707,0.581854976,1.42015806,6,1.534732592,0.7869050077416667,1.1853044078333335,6.0,1.42273189
19800708,0.350014871,1.477043561,6,1.517948646,0.5609736137083333,1.2231623700749998,6.0,1.345666221
19800709,0.050430906,1.254336042,6,1.255349427,0.2687581092833333,0.98711726295,6.0,1.023050054
19800710,-0.072479716,1.197886028,7,1.200076766,0.15417645862499998,0.9204834917083334,6.0,0.93330608
19800711,-0.097867274,1.037801119,7,1.042405471,0.13563839529166666,0.7519008941,6.0,0.764037125
19800712,-0.187431574,0.950254972,7,0.968563424,0.05255494867500002,0.6572313587333333,6.0,0.659329267
19800713,-0.028263926,0.625214397,7,0.625852931,0.21932519025,0.3273626951833334,6.0,0.394042984
