,nino3,nino4,nino34,nino12,indocW,indocE
1980-01-01,23.94220036323312,28.309877693642914,26.591960797755544,24.035521801524087,28.03365633474619,28.616884390800134
1980-01-02,23.97145222489435,28.305696017089605,26.56912384350598,23.992092109962524,28.0732312234684,28.636822318564803
1980-01-03,24.04212288501078,28.349517741990386,26.608833553936634,23.880025805369048,28.08575291475426,28.646284182009488
1980-01-04,24.11648007534284,28.406776166148333,26.680903818531338,23.739716886493657,28.05164876921408,28.627037821055577
1980-01-05,24.173156743760106,28.46021131855453,26.768364810248077,23.639157036261423,27.97753653085777,28.587549785321734
1980-01-06,24.247296097116173,28.5220177209087,26.870318815289775,23.58904483472734,27.892476105989868,28.544938999071412
1980-01-07,24.374076317586923,28.6044029537092,26.985899446047252,23.600261796306974,27.825549607095386,28.516434069152332
1980-01-08,24.58858737488909,28.719483076703405,27.114116264945054,23.683561561209522,27.805875990517155,28.519204248194235
1980-01-09,24.82086024757613,28.81999909099026,27.190418411080632,23.82742254043611,27.843848404478848,28.551222948427014
1980-01-10,24.98802323738195,28.864047448818763,27.183143690558623,24.006257204198317,27.9151866197429,28.59497388216435
1980-01-11,25.108263951463766,28.869810996529896,27.139920307956896,24.210966719527757,27.997465883989577,28.644481448561912
1980-01-12,25.19962480048484,28.85543976936139,27.108291604663595,24.43254830848058,28.06813826482634,28.693808561819168
1980-01-13,25.280347663204516,28.83908262304099,27.135878046603665,24.662163587387433,28.104724716471043,28.736996914805083
1980-01-14,25.32177411467822,28.811285804488094,27.207535335986677,24.82417923456105,28.09992303567954,28.757700095152494
1980-01-15,25.30068465055921,28.761137632543576,27.27415093723751,24.880251410434273,28.064509570592808,28.750542093581842
1980-01-16,25.24307848721369,28.704894452642876,27.33168631975407,24.877412502092493,28.00450844401756,28.726019947846442
1980-01-17,25.175197697198566,28.658783638759633,27.376160564826403,24.862839828943894,27.92593881625318,28.694711968937952
1980-01-18,25.123046973535466,28.63907914322503,27.403522801158104,24.88361455398377,27.834746134240937,28.667114604641416
1980-01-19,25.123915219099437,28.65009857388922,27.41055266340884,24.96252541250236,27.77152756238083,28.66491328755949
1980-01-20,25.179168880096892,28.679901598631115,27.396368312060336,25.068157196375083,27.754917969948156,28.687220371647864
1980-01-21,25.260914694282203,28.720612712792974,27.360112088104053,25.165291434616723,27.759227216424346,28.710741594744544
1980-01-22,25.34109971816296,28.764341953165527,27.30085983201978,25.218722193528777,27.758693830907827,28.712087357219932
1980-01-23,25.391717583269596,28.803158363424263,27.217690986836423,25.19332127168484,27.727634358594624,28.66797477096941
1980-01-24,25.434047533061097,28.82181794566839,27.148741681109755,25.13277984900932,27.67663354133101,28.585773784024965
1980-01-25,25.49053100231774,28.816564521509118,27.11876102087039,25.09187908432101,27.63635405188113,28.50025259528788
1980-01-26,25.534072829366607,28.795854261021194,27.106434022618632,25.053981094129632,27.612526391064108,28.42935166202844
1980-01-27,25.537731950126346,28.768048113974846,27.090493632381282,25.00271853842238,27.610859521827276,28.39117881911165
1980-01-28,25.474310321873396,28.741558719900283,27.04963469898242,24.92146296555377,27.637006812480276,28.40388061099623
1980-01-29,25.380533000976236,28.736041358887764,27.020868889212963,24.864843051850027,27.688221702216453,28.468277433123525
1980-01-30,25.311241276417753,28.75033215957057,27.034376228894804,24.88168094390535,27.75173690434778,28.562100559517177
1980-01-31,25.26701328198442,28.76194369391752,27.058259285005317,24.94694653834886,27.818867417013102,28.668184425456953
1980-02-01,25.248383192144193,28.748509905640095,27.060702477733372,25.035915695035794,27.881018377568438,28.76936992212589
1980-02-02,25.255946772532866,28.68758552299574,27.00986300588949,25.123634526751914,27.92948437621425,28.84842392608602
1980-02-03,25.327803585807057,28.592841731009614,26.92329083000551,25.212751846722096,27.94129356915213,28.859318705867153
1980-02-04,25.469310349685887,28.500597047925808,26.84550705650759,25.31320703840087,27.914973794154076,28.799176426249222
1980-02-05,25.6312040205617,28.42289311955011,26.78423030946006,25.410906160677474,27.874633464632456,28.714693376440984
1980-02-06,25.764088540761374,28.371903296925066,26.74731495130184,25.49175755906523,27.84436339663497,28.652720963555915
1980-02-07,25.818671555361608,28.35965104206094,26.74254066847035,25.54190249195134,27.848305921901066,28.660022514927398
1980-02-08,25.796688705110256,28.391378942506222,26.778463454567927,25.571816927784788,27.87339557622506,28.74547982814358
1980-02-09,25.741986897487667,28.456001708583887,26.848886477336627,25.5951150639561,27.899482519820506,28.865250895410043
1980-02-10,25.668141104652708,28.540712451130215,26.938264920446066,25.600917678700643,27.940426006000116,28.986402201571433
1980-02-11,25.5887697263094,28.632933075997396,27.031219810327425,25.578381544685595,28.010098196160975,29.07598816405073
1980-02-12,25.51740452079529,28.719878706109572,27.11226945519849,25.516664617948564,28.122430824949344,29.10104514864962
1980-02-13,25.477891694877414,28.770036708184403,27.153389623737585,25.426401914059525,28.237361578413278,29.063943721152594
1980-02-14,25.486825647558465,28.772466163206445,27.150940535292523,25.345287871596668,28.31607662370022,28.993369375857487
1980-02-15,25.547805368541304,28.744876179712648,27.12462579339767,25.303844524526994,28.37425393343387,28.895402931237864
1980-02-16,25.66449481019475,28.704993159082715,27.094222902552247,25.332202564374274,28.42751512735901,28.77609379005198
1980-02-17,25.840530618217137,28.670583745092078,27.079476003397826,25.460912246435512,28.491529450411054,28.64153092548834
1980-02-18,26.01541669234358,28.651568876409343,27.093352886031283,25.638696431512646,28.545620612841887,28.53323115233493
1980-02-19,26.145631941281966,28.64243994657502,27.125780651770327,25.808272451065566,28.565845119246088,28.484609962544248
